Trento Centro;[1] Uscita casello;1;2022-11-21 23:35:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 23:30:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 22:55:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 22:30:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 22:25:00.000
Trento Centro;[1] Uscita casello;2;2022-11-21 22:20:00.000
Trento Centro;[1] Uscita casello;4;2022-11-21 22:10:00.000
Trento Centro;[1] Uscita casello;2;2022-11-21 22:05:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 21:40:00.000
Trento Centro;[1] Uscita casello;3;2022-11-21 21:35:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 21:10:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 20:00:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 19:45:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 19:30:00.000
Trento Centro;[1] Uscita casello;2;2022-11-21 19:10:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 19:05:00.000
Trento Centro;[1] Uscita casello;3;2022-11-21 18:25:00.000
Trento Centro;[1] Uscita casello;2;2022-11-21 18:20:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 18:15:00.000
Trento Centro;[1] Uscita casello;3;2022-11-21 18:00:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 17:55:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 17:50:00.000
Trento Centro;[1] Uscita casello;3;2022-11-21 17:40:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 17:35:00.000
Trento Centro;[1] Uscita casello;3;2022-11-21 17:20:00.000
Trento Centro;[1] Uscita casello;3;2022-11-21 17:15:00.000
Trento Centro;[1] Uscita casello;2;2022-11-21 17:05:00.000
Trento Centro;[1] Uscita casello;4;2022-11-21 17:00:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 10:15:00.000
Trento Centro;[1] Uscita casello;1;2022-11-21 09:20:00.000
